attendance_rate,gpa,credits_earned,discipline_incidents,ela_score,math_score,graduated
0.848,3.54,13,3,250.1,269.4,1
0.854,3.75,6,1,253.9,232.9,1
0.87,3.1,5,0,257.2,274.1,1
0.94,3.38,1,1,222.9,241.2,1
0.875,3.55,21,0,219.2,227.0,1
0.901,3.48,10,0,232.3,240.6,1
0.985,3.17,8,1,230.7,192.3,1
0.902,3.16,17,0,237.1,247.3,1
0.957,3.11,0,1,262.7,246.3,0
0.873,2.14,13,0,246.6,268.1,1
0.91,3.22,11,2,253.9,208.5,1
0.872,1.99,13,0,225.5,275.6,1
0.903,2.32,2,0,240.8,268.1,1
0.962,3.58,22,1,261.7,277.5,1
0.834,3.3,5,0,261.9,248.8,1
0.942,3.69,16,1,235.5,272.3,1
0.932,2.64,17,0,253.2,217.6,1
0.89,2.11,8,0,294.0,265.7,1
0.848,2.66,3,1,249.6,233.0,1
0.924,2.86,7,0,236.1,213.7,1
0.894,2.85,19,0,246.5,225.3,1
0.932,3.48,21,1,251.8,250.1,1
0.921,2.58,22,0,247.0,231.9,1
1.0,3.01,5,0,249.4,258.3,1
0.908,2.21,14,1,221.1,210.2,1
0.869,3.07,3,0,230.7,203.2,1
0.929,2.8,17,0,247.0,280.2,1
0.931,2.35,9,0,246.7,269.9,1
0.988,2.66,17,0,238.7,226.9,1
0.962,2.69,16,0,246.5,249.9,1
0.938,2.64,23,0,251.2,272.4,1
0.993,3.86,11,0,267.8,259.2,1
0.861,2.74,8,1,248.0,253.3,1
0.888,2.65,12,0,258.0,274.1,1
0.874,1.54,3,1,239.2,233.9,0
0.901,2.26,2,1,261.4,250.7,1
0.851,2.64,12,1,257.5,249.6,1
0.952,2.39,19,0,267.3,244.0,0
0.909,3.63,12,0,264.3,241.4,1
0.846,2.7,18,0,261.8,251.6,1
0.869,3.57,4,0,248.0,250.8,1
0.936,2.84,10,1,254.9,226.9,1
0.962,2.82,14,0,271.3,267.6,1
1.0,2.75,8,3,237.0,228.5,1
1.0,2.8,0,1,237.4,245.2,1
0.941,3.83,1,1,253.6,243.5,1
0.871,1.41,22,0,258.3,257.9,1
0.813,1.6,14,0,233.5,203.4,0
0.933,2.47,6,0,248.5,269.6,1
0.879,2.81,6,1,248.1,235.1,1
0.899,3.21,0,1,205.7,276.8,1
0.889,3.08,22,1,245.6,239.5,1
0.913,2.57,2,2,246.9,248.9,1
0.973,3.41,18,1,246.8,292.1,1
0.928,3.42,5,1,278.3,243.9,1
0.912,2.91,8,0,225.7,277.3,1
0.868,3.38,6,0,233.5,250.9,1
0.836,2.96,19,0,197.8,259.1,1
0.896,2.46,0,0,240.4,251.5,1
0.917,3.22,8,1,242.1,268.7,1
1.0,2.87,6,0,239.8,234.9,1
0.927,2.8,6,1,272.2,228.4,1
0.969,3.68,4,0,267.2,236.0,1
0.895,1.33,21,1,251.6,252.2,1
0.861,1.95,9,1,242.6,245.1,1
0.872,2.09,10,3,270.5,265.6,1
0.884,2.58,9,1,249.6,278.7,1
1.0,2.65,23,1,233.6,228.5,1
0.879,1.9,8,1,215.7,233.9,0
0.962,2.21,8,0,241.2,218.4,1
0.875,2.28,7,0,265.1,294.7,1
0.967,4.0,7,0,295.5,256.7,1
0.939,3.88,2,0,251.2,260.6,1
0.912,2.55,14,0,234.7,220.5,1
0.918,2.58,0,1,226.3,250.0,1
0.887,2.11,5,0,261.0,261.2,1
0.942,1.66,4,0,214.7,244.4,0
0.897,2.73,6,1,261.0,273.7,1
0.859,2.2,18,0,266.4,300.9,1
0.856,2.75,14,0,258.7,229.2,1
0.929,1.84,23,0,245.6,227.5,1
0.999,2.34,8,0,261.3,230.7,1
0.928,2.89,22,0,253.4,285.3,1
0.914,3.02,1,0,234.4,272.9,1
0.934,3.05,12,1,287.0,247.0,1
0.985,2.01,19,1,243.0,250.8,1
0.931,3.31,12,3,265.5,232.0,1
0.899,2.32,22,0,201.6,269.6,1
0.975,3.18,7,1,275.5,241.6,1
0.941,2.79,0,0,279.4,244.3,1
0.997,1.97,18,0,250.6,263.4,1
0.929,2.61,1,0,261.2,245.9,1
0.859,3.02,18,1,261.2,244.8,1
0.852,3.17,17,1,237.1,250.2,1
1.0,2.72,20,0,260.9,267.5,1
1.0,3.72,11,0,233.8,286.2,1
0.911,3.4,21,0,237.8,262.9,1
0.901,2.65,4,1,272.5,267.7,1
0.993,3.25,10,0,269.5,245.6,1
0.865,3.96,2,0,235.9,234.4,1
0.875,3.98,18,0,235.3,264.4,1
0.952,2.06,17,0,237.1,253.8,1
0.9,2.24,19,0,264.7,218.7,1
0.92,3.69,18,0,230.0,242.8,1
0.912,2.17,7,1,257.1,248.2,1
0.937,2.01,1,0,264.9,238.8,1
0.99,2.51,22,0,248.2,282.6,1
0.925,3.05,11,1,270.2,260.6,1
0.952,2.74,2,2,243.9,280.2,1
0.817,2.41,22,0,245.7,255.8,1
0.918,2.4,23,1,230.5,251.8,1
0.878,2.37,10,0,270.3,229.4,1
0.859,2.27,18,0,234.7,250.3,1
0.876,4.0,0,0,257.0,250.3,1
0.903,2.98,2,0,248.6,219.9,1
0.966,3.33,6,0,228.9,238.1,1
0.854,2.51,15,0,237.8,242.9,1
0.922,2.69,3,0,277.7,259.1,1
0.896,2.37,0,0,254.0,260.1,1
0.904,1.21,16,1,229.8,237.2,1
0.97,1.97,18,1,256.1,260.3,1
0.947,1.71,17,0,247.1,246.0,1
0.987,1.45,19,0,319.1,186.9,1
0.912,2.08,19,0,255.7,239.3,1
0.885,3.59,14,0,242.4,273.7,1
0.909,2.77,12,0,278.4,213.0,0
0.932,3.57,20,0,213.2,252.5,1
0.929,3.05,8,0,251.9,284.9,1
0.866,3.27,2,0,289.9,233.3,1
0.925,2.26,18,0,247.7,250.0,1
0.931,3.11,6,0,215.3,221.3,1
1.0,3.24,23,0,242.1,285.8,1
1.0,2.45,9,0,279.1,248.2,1
0.877,3.14,20,0,257.5,251.0,1
0.906,3.14,1,0,233.2,279.8,1
0.847,2.47,15,0,236.3,264.6,1
0.89,2.13,10,1,238.8,230.7,1
0.936,2.09,11,0,257.2,235.8,0
0.98,2.85,6,0,276.8,260.9,1
0.884,3.0,23,1,271.0,236.3,1
0.887,2.32,9,1,259.1,203.4,1
0.813,2.82,20,0,223.4,248.8,1
0.912,3.14,10,1,223.4,217.4,1
0.867,3.17,1,1,260.7,285.6,1
0.894,3.73,21,0,223.1,253.9,1
0.876,3.57,4,1,245.5,230.1,1
0.915,2.2,6,1,256.1,234.6,1
0.832,3.81,20,2,227.2,208.4,1
0.847,2.48,21,1,229.5,225.8,1
1.0,3.43,22,1,248.1,272.4,1
0.856,2.84,10,0,260.1,299.1,1
0.865,2.55,18,1,271.2,266.0,1
1.0,1.72,7,0,262.1,248.0,1
1.0,2.7,17,0,251.5,240.5,1
0.861,1.86,12,1,235.1,229.0,1
0.902,3.38,1,2,228.6,295.3,1
0.937,3.71,10,0,239.8,245.8,1
1.0,2.32,11,1,258.2,296.5,1
0.871,2.98,6,0,256.7,280.7,1
0.908,2.36,8,1,208.0,211.7,1
0.959,2.42,12,0,234.3,235.3,1
0.942,3.26,1,1,274.1,235.3,1
0.901,2.78,3,0,251.6,248.2,1
0.913,3.84,18,0,221.7,248.7,1
0.851,2.51,8,1,297.1,315.9,1
0.908,3.4,14,0,249.4,226.3,1
0.907,2.86,13,0,257.7,255.0,1
0.932,3.28,13,0,258.0,263.6,1
0.892,2.53,9,0,242.6,250.0,1
0.944,2.77,11,0,235.4,252.4,1
0.971,2.73,19,1,292.4,227.0,1
0.928,2.3,23,1,270.1,252.3,1
0.938,3.2,6,0,266.4,261.3,1
0.923,3.19,16,0,261.5,257.2,1
0.92,3.16,23,0,229.9,262.5,1
0.884,3.72,0,3,275.6,281.1,1
0.936,3.67,18,1,233.1,270.6,1
0.915,2.58,11,1,255.7,251.6,1
1.0,3.02,23,0,217.2,224.2,1
0.999,2.43,13,0,209.2,236.8,1
0.939,2.81,20,0,256.4,245.2,1
0.882,2.44,3,0,233.8,255.6,1
0.864,3.77,3,3,210.2,239.5,1
0.98,3.02,22,0,260.8,229.4,1
0.933,2.67,12,0,292.4,223.9,1
0.944,3.52,13,0,277.8,213.7,1
0.833,1.5,4,0,244.9,244.8,1
0.966,1.59,5,0,250.2,217.7,1
0.943,3.28,19,0,267.8,228.0,1
0.864,2.84,7,0,272.4,241.3,1
0.896,2.95,14,0,243.1,220.6,1
0.933,2.0,7,1,250.7,258.4,1
0.923,2.79,6,1,256.0,266.3,1
0.905,4.0,3,1,261.1,237.9,1
0.915,3.29,22,1,247.3,240.4,1
0.907,2.9,22,1,247.6,261.8,1
0.928,2.54,2,0,277.6,234.3,1
0.994,2.56,8,0,274.2,232.8,1
0.792,1.52,13,0,259.5,276.3,1
0.908,2.95,9,0,284.4,269.5,1
0.929,3.31,17,0,242.3,263.2,1
0.935,1.85,6,0,282.5,270.4,1
0.901,2.4,1,0,260.9,206.5,0
0.832,2.11,8,0,315.4,279.8,1
0.936,2.22,14,1,226.2,258.6,1
1.0,2.83,4,1,236.2,272.2,1
0.843,1.55,19,0,258.4,258.5,1
0.963,3.17,0,0,257.9,251.1,1
0.904,3.25,1,0,289.0,243.9,1
0.917,2.65,12,1,236.6,258.1,1
0.867,1.31,12,1,268.1,243.1,0
0.903,2.2,7,1,273.2,269.1,1
0.985,3.54,6,0,264.1,215.1,1
0.949,1.13,1,1,230.8,238.1,1
1.0,2.59,15,1,278.2,295.0,1
0.979,2.09,9,0,274.6,236.2,1
0.942,3.28,2,0,262.0,244.7,1
1.0,2.39,9,1,254.1,230.6,1
0.942,3.04,22,2,254.5,257.4,1
0.961,3.14,6,0,248.4,233.8,1
0.905,3.9,21,2,262.8,245.9,1
0.923,2.68,6,0,250.6,268.7,1
0.885,3.03,4,0,233.0,234.6,1
0.969,1.91,6,0,229.0,267.3,1
0.861,3.51,7,1,235.0,268.1,1
0.959,2.34,2,0,254.4,273.2,1
0.91,2.46,14,0,249.5,253.1,0
0.979,2.79,8,0,254.3,321.3,1
0.958,1.86,17,0,260.0,273.2,1
1.0,2.94,11,1,237.5,257.1,1
0.957,3.38,10,0,279.3,230.7,1
0.841,2.98,11,1,244.6,247.9,1
0.917,1.85,3,0,241.3,281.4,1
0.861,2.73,17,0,259.6,287.6,1
0.894,3.25,2,2,213.3,282.5,1
0.996,1.67,17,0,234.2,267.3,1
0.952,2.16,23,0,269.6,222.4,1
0.885,3.33,18,1,215.3,260.7,1
0.869,2.96,10,2,272.4,222.7,1
0.922,3.05,7,2,280.2,217.3,1
0.859,3.92,20,1,242.6,255.3,1
0.886,3.08,6,0,255.8,261.5,1
0.936,3.19,11,1,272.4,269.9,1
0.978,4.0,18,1,240.7,260.9,1
0.95,2.67,22,1,267.4,261.7,1
0.805,2.32,22,1,236.6,228.3,1
0.935,3.06,2,0,240.4,247.7,1
0.924,3.06,21,0,234.0,216.8,1
0.941,2.48,2,0,256.9,205.9,1
1.0,2.18,14,0,273.2,266.3,1
0.817,4.0,22,0,246.3,233.4,1
0.89,3.0,15,1,224.6,269.2,1
0.95,2.36,22,0,228.3,274.4,1
0.841,3.35,8,0,257.9,236.4,1
0.994,2.73,7,0,286.9,263.0,1
0.938,2.65,7,1,257.9,235.5,1
0.962,3.14,8,0,242.3,209.4,1
0.891,2.02,16,2,265.3,252.7,1
0.961,3.01,10,2,245.2,239.6,1
0.973,3.95,17,1,242.4,240.3,1
0.932,3.08,9,0,230.8,293.5,1
0.932,2.57,7,0,278.2,216.4,1
0.934,2.5,4,0,199.2,258.4,1
0.877,2.55,13,1,266.0,228.1,1
0.913,2.65,21,1,240.7,270.0,1
0.912,2.57,20,0,241.8,256.6,1
0.939,3.35,6,0,283.8,258.3,1
0.97,1.76,11,0,235.7,229.2,1
0.867,3.32,16,4,236.4,233.2,1
0.914,2.57,14,0,247.4,270.4,1
0.994,3.03,1,0,258.3,289.0,1
0.883,2.12,14,0,241.2,260.6,1
0.879,3.6,0,0,218.5,230.3,1
0.93,3.55,2,0,232.7,257.5,1
0.962,3.38,15,0,275.6,303.4,1
0.921,1.89,2,1,251.5,252.3,1
0.986,3.3,8,2,259.0,282.2,1
0.963,3.04,14,1,244.8,233.7,1
0.962,1.84,15,1,236.8,249.1,1
0.948,2.79,10,1,283.6,263.6,1
1.0,3.02,2,0,246.2,258.7,1
0.91,3.13,19,1,241.1,233.1,1
0.82,2.91,22,0,271.9,232.2,1
1.0,2.97,21,1,235.6,271.7,1
0.897,3.68,17,1,238.1,276.2,1
0.925,3.54,9,0,250.2,283.3,1
0.985,1.08,21,0,250.0,289.7,1
0.84,2.61,11,0,255.2,253.0,1
0.857,2.7,3,0,291.8,243.2,1
0.84,1.75,20,0,256.7,279.7,1
0.88,2.86,7,0,202.4,265.7,1
0.942,3.55,22,0,256.5,228.4,1
0.946,2.15,8,0,250.8,227.3,1
0.934,3.0,20,0,250.9,260.8,1
0.849,2.25,12,2,254.9,246.1,1
0.804,2.4,11,1,249.4,249.4,1
0.923,3.69,7,0,248.9,273.6,1
0.896,2.47,20,1,262.3,266.7,1
0.943,3.08,1,1,239.2,279.3,1
0.955,1.68,11,1,231.0,207.5,1
0.927,3.92,8,0,310.5,255.6,1
0.958,3.16,13,0,235.7,265.3,1
0.931,2.69,6,1,252.0,216.4,1
0.947,3.15,15,1,220.1,235.6,1
0.885,1.95,9,1,252.3,231.5,1
0.911,3.51,4,1,231.3,250.5,1
0.93,2.61,4,0,241.2,285.8,1
0.961,2.68,16,0,270.9,294.5,1
0.9,2.51,6,0,259.4,232.1,1
0.946,2.45,7,0,261.4,261.6,1
0.907,3.22,15,0,214.6,262.3,0
0.914,2.95,7,0,286.7,258.5,1
0.961,3.19,9,0,226.2,258.8,1
0.82,2.79,5,0,280.6,256.7,1
0.855,3.11,8,1,270.4,287.1,1
0.846,2.55,16,2,261.5,274.3,1
0.803,4.0,12,1,232.9,226.7,1
0.886,1.86,23,1,253.0,267.5,1
0.957,3.56,18,0,240.6,269.6,1
0.906,3.62,0,0,250.6,256.9,1
0.93,2.29,9,0,245.0,274.9,1
0.974,4.0,6,2,209.2,254.1,1
0.986,3.4,14,2,272.4,254.4,1
0.917,3.38,6,1,248.4,252.7,1
0.988,2.82,23,0,240.3,205.6,1
0.925,2.67,7,0,238.8,248.2,1
0.878,2.67,12,1,257.2,235.3,1
0.89,3.03,2,0,232.1,223.9,0
0.846,3.64,21,0,204.9,281.5,1
0.876,2.91,21,0,258.1,261.1,1
0.902,2.25,19,0,260.4,249.3,1
0.96,3.29,8,2,246.0,237.6,1
1.0,3.35,1,0,227.0,256.5,1
0.851,3.19,17,0,251.8,271.8,1
0.94,3.25,10,0,220.7,231.8,1
0.868,2.64,23,0,229.5,249.9,1
0.944,2.24,16,1,235.0,269.1,1
0.913,2.28,12,0,266.9,207.4,1
0.828,1.82,23,0,242.7,248.7,1
0.966,2.94,19,0,241.0,240.6,1
0.89,2.75,11,0,289.1,247.1,1
0.893,2.54,0,3,257.0,239.0,0
0.867,1.03,2,1,256.8,253.0,0
0.887,2.05,10,0,242.6,292.3,1
0.941,3.47,13,0,238.1,242.9,1
0.911,2.4,0,0,206.3,256.4,1
0.936,3.02,3,0,269.4,293.9,1
0.938,1.97,16,0,259.0,237.9,1
0.986,3.66,18,0,246.4,289.9,1
0.903,2.71,0,1,247.3,250.1,1
0.846,2.97,12,0,264.7,289.2,1
0.973,4.0,1,0,218.9,266.5,1
0.903,3.71,17,1,238.2,256.8,1
0.976,2.62,20,0,227.3,248.6,1
0.939,2.44,20,0,285.4,236.3,1
0.913,2.6,14,0,267.5,251.7,1
0.937,3.11,15,0,205.9,269.7,1
1.0,2.74,22,2,219.7,249.7,1
1.0,2.56,14,0,247.4,243.0,1
0.923,3.68,10,1,240.6,244.5,1
0.928,2.73,18,0,223.5,271.8,1
0.974,4.0,14,1,288.9,277.0,1
0.878,2.85,20,0,256.3,235.3,1
0.937,3.87,12,0,259.5,235.3,0
0.919,3.01,20,0,236.2,258.3,1
0.936,3.38,1,0,264.4,283.6,1
0.878,2.37,0,0,242.4,275.2,1
0.841,2.29,2,0,244.3,222.5,1
0.816,3.08,13,1,262.2,244.2,1
0.864,3.39,17,0,217.4,229.5,0
0.897,2.82,5,0,281.9,244.1,1
0.905,2.03,3,1,253.6,285.3,1
1.0,1.98,20,1,275.6,218.7,1
0.975,1.94,18,0,228.5,214.4,1
0.872,1.74,15,0,231.5,231.8,1
0.937,2.87,11,0,226.8,256.3,1
0.9,3.48,10,2,255.0,263.7,1
0.906,2.79,0,1,251.3,259.6,1
0.929,1.44,4,0,240.7,275.9,0
0.951,2.69,21,0,229.7,211.2,1
0.903,2.7,8,0,224.7,276.1,1
0.973,4.0,16,1,249.0,243.1,1
0.863,1.93,16,0,240.7,266.1,1
0.92,2.57,7,0,236.3,220.9,1
1.0,3.82,4,0,280.9,250.1,1
0.931,3.07,16,0,248.4,255.2,1
0.992,3.14,2,1,275.4,275.4,1
0.925,2.87,11,0,239.3,215.1,1
0.949,3.0,21,0,254.9,250.7,1
0.917,3.27,17,0,248.9,226.1,1
0.911,2.31,18,0,216.0,261.1,1
0.881,3.33,1,2,278.6,267.1,1
0.942,1.98,4,1,247.3,278.3,1
0.877,3.0,6,1,264.9,238.2,1
0.953,2.91,7,1,235.0,270.4,1
0.974,2.43,4,0,246.7,279.9,1
0.938,2.79,23,0,232.7,213.8,1
0.906,2.43,3,0,274.7,263.5,1
0.943,2.16,16,0,256.2,271.1,1
0.905,2.59,14,1,257.3,244.3,1
0.967,2.14,14,0,277.2,223.4,1
0.828,2.99,5,0,273.1,270.7,1
0.903,2.11,7,0,265.3,223.6,1
0.82,3.23,14,1,221.6,246.1,1
0.845,2.09,7,0,236.1,249.1,1
0.988,2.46,16,0,229.9,265.7,1
0.965,2.43,0,0,264.6,236.2,1
0.884,3.6,1,0,253.4,234.9,1
0.845,3.0,17,1,222.2,252.2,1
0.772,2.67,14,0,246.2,272.1,1
0.893,3.1,1,0,220.1,300.3,1
1.0,1.54,21,2,248.9,216.8,1
0.942,2.77,0,0,216.9,256.9,1
0.892,4.0,22,0,260.6,226.1,1
0.943,2.88,17,1,257.6,272.4,1
0.842,2.84,23,0,288.2,229.4,1
0.905,3.13,22,2,267.0,235.2,1
0.925,3.34,7,0,241.5,237.0,1
0.916,1.6,18,0,266.4,248.3,1
0.96,1.79,5,0,222.0,257.1,1
0.937,2.93,11,0,230.8,260.6,1
0.953,2.37,5,2,256.7,249.9,1
0.886,3.59,11,1,206.8,220.7,1
0.965,2.61,20,0,249.3,266.0,1
1.0,1.64,10,1,229.6,248.8,1
0.871,2.04,2,0,252.0,275.6,0
0.876,1.15,7,0,228.4,234.4,0
0.987,2.66,18,0,258.5,214.7,1
0.91,2.69,12,0,250.4,249.3,1
0.99,2.55,13,1,278.0,278.5,1
0.898,3.45,10,0,250.1,253.5,1
0.993,3.52,7,1,234.6,245.6,1
0.927,2.7,14,1,245.1,230.9,0
0.933,1.52,15,0,223.1,288.7,1
0.998,3.17,21,1,258.1,227.3,1
0.902,3.13,14,0,261.8,234.0,1
0.873,2.99,23,0,299.4,262.5,1
0.898,3.39,19,0,237.6,209.2,1
0.943,2.1,1,0,244.6,278.0,1
0.842,4.0,9,0,238.5,263.7,1
0.952,2.22,9,1,254.2,269.8,1
0.893,3.25,0,0,257.6,262.3,1
0.977,1.79,4,0,248.9,246.5,1
0.8,2.24,18,1,271.7,226.6,1
0.881,3.71,8,0,237.7,246.9,1
0.836,2.64,3,0,269.7,228.5,1
0.879,3.3,6,1,260.8,260.7,1
0.932,2.94,6,0,249.8,267.7,1
0.911,2.74,4,1,243.7,282.5,1
0.907,3.62,2,0,298.5,258.2,1
0.912,2.66,18,0,233.7,270.3,1
0.93,1.73,19,0,256.0,243.5,1
0.87,2.32,11,0,235.0,239.5,0
0.955,3.13,14,0,285.7,260.4,1
0.953,3.04,22,0,267.7,241.5,1
0.939,1.86,20,0,236.4,255.9,1
0.948,2.37,0,0,260.3,226.7,1
0.935,2.45,22,1,255.2,230.6,1
1.0,2.58,1,0,239.7,264.0,1
0.916,1.97,0,0,265.2,269.5,1
0.905,2.42,9,0,257.8,228.3,1
0.882,2.36,17,0,254.3,264.8,1
0.868,3.26,1,0,249.2,238.3,1
0.858,3.29,7,0,258.6,250.4,1
0.876,2.71,6,1,254.6,281.2,1
0.916,2.56,9,0,251.2,267.8,1
0.937,2.88,23,0,237.2,267.5,1
0.923,2.31,7,1,283.9,292.0,1
0.882,2.11,5,1,229.0,234.5,1
0.965,2.24,2,0,258.6,228.3,1
0.957,2.42,4,0,243.6,234.1,1
0.912,2.1,3,0,285.2,244.4,1
0.887,2.9,13,1,231.9,198.2,1
0.947,3.24,10,1,235.3,245.4,1
0.929,1.85,11,2,230.6,238.0,1
0.848,2.82,19,0,256.5,267.2,1
0.917,2.67,13,1,222.5,257.8,1
0.933,3.0,3,1,240.4,236.8,1
0.875,2.79,9,0,207.0,263.0,1
0.929,1.93,7,0,254.8,265.9,1
0.847,2.04,19,2,240.0,233.1,1
0.987,2.82,7,2,220.2,239.2,1
0.982,3.42,3,0,271.7,201.0,1
0.907,1.47,17,1,223.8,226.0,1
0.938,3.01,10,0,265.9,233.7,1
0.8,3.51,2,1,236.0,251.6,1
0.862,2.71,16,3,282.0,229.2,1
0.905,3.13,5,0,265.0,238.7,1
0.866,2.38,20,0,229.8,223.0,1
0.956,2.73,19,0,231.7,253.8,0
1.0,1.83,8,1,262.1,259.4,1
0.861,1.39,13,0,244.8,258.9,1
0.878,3.37,13,0,246.6,250.3,1
0.932,2.21,15,0,275.4,216.1,1
1.0,2.53,1,0,235.0,236.4,1
0.859,1.97,7,1,251.8,241.0,0
0.932,1.95,4,0,269.1,241.1,1
1.0,2.7,16,2,266.2,251.6,1
0.837,2.36,1,1,246.8,281.4,1
0.856,3.03,12,0,244.2,267.9,1
0.899,3.07,17,0,215.2,228.3,1
0.894,2.99,22,0,228.9,264.9,1
0.961,2.94,6,3,256.4,264.1,1
0.932,3.75,0,0,247.2,232.3,1
0.831,2.16,17,1,251.5,268.7,1
0.946,2.77,0,0,270.8,246.5,1
0.891,3.48,1,0,226.3,219.0,1
0.984,3.56,23,0,245.3,260.0,1
0.889,1.95,20,0,253.8,254.8,1
0.888,2.61,16,0,235.9,245.0,1
0.947,3.61,20,0,278.6,249.2,1
0.958,3.1,1,0,268.2,234.2,1
0.942,2.92,2,0,255.8,263.4,1
0.836,2.67,7,0,285.9,249.0,1
0.947,2.57,0,0,220.0,253.7,1
0.868,2.97,21,1,249.8,257.9,1
0.932,2.65,1,1,257.3,224.6,1
0.849,2.77,13,0,231.7,230.3,1
0.942,2.85,20,1,256.0,201.4,1
0.88,2.39,17,0,227.9,262.4,1
0.856,3.12,5,0,263.8,223.3,1
0.956,4.0,11,0,271.2,252.9,1
0.932,1.73,13,4,255.4,258.2,1
0.889,2.99,18,1,212.9,263.3,1
0.993,2.34,10,1,230.7,223.5,0
0.898,3.15,6,0,261.3,248.6,1
0.922,2.83,19,1,250.4,286.7,1
0.933,3.26,21,1,196.1,287.7,1
0.889,3.51,11,0,274.9,271.7,1
0.944,2.92,0,1,252.7,257.4,1
0.893,3.48,12,0,233.6,227.9,1
0.899,1.39,21,0,269.9,265.8,1
0.988,3.75,23,0,236.4,246.5,1
0.868,3.03,9,0,236.2,262.3,1
0.799,3.45,3,0,257.2,236.1,1
1.0,2.07,13,3,285.6,246.2,1
1.0,2.3,19,0,282.5,253.6,1
